player	player_id	transfermarkt
samu aghehowa	497564	50000000
yuri alberto	348261	14000000
julián alvarez	365409	80000000
Mohamed Amoura	431045	22000000
Taiwo Awoniyi	281049	22000000
Folarin Balogun	384065	25000000
Maximilian Beier	387125	30000000
Ange-Yoan Bonny	447489	20000000
Brian Brobbey	404568	30000000
Jonathan Burkardt	363037	25000000
Dominic Calvert-Lewin	141469	22000000
Valentín Castellanos	361406	20000000
Santiago Castro	421081	25000000
Matheus Cunha	362758	50000000
Jonathan David	383855	45000000
Liam Delap	401254	25000000
Ermedin Demirovic	351339	28000000
Artem Dovbyk	296975	30000000
Jhon Durán	433517	40000000
Hugo Ekitiké	403784	40000000
Emanuel Emegha	400163	15000000
Youssef En-Nesyri	323547	22000000
Sebastiano Esposito	371397	7000000
Evanilson	384430	35000000
Evan Ferguson	423720	40000000
Santiago Giménez	445061	37000000
Amine Gouiri	348654	20000000
Antoine Griezmann	80241	22000000
Evann Guessand	382587	20000000
Luis Guilherme	478319	22000000
Serhou Guirassy	236506	40000000
Viktor Gyökeres	362815	75000000
Erling Haaland	315227	200000000
Kai Havertz	326413	75000000
Cucho Hernández	362501	18000000
Rasmus Højlund	439584	60000000
Hee-Chan Hwang	262854	22000000
Fotis Ioannidis	418176	18000000
Alexander Isak	299254	75000000
Nicolas Jackson	426050	55000000
Diogo Jota	235755	50000000
Arnaud Kalimuendo	384005	20000000
Harry Kane	83532	90000000
Gabriel Jesus	279379	45000000
Moise Kean	328990	30000000
Tim Kleindienst	129368	12000000
Ibrahima Konaté	431179	50000000
Jørgen Strand Larsen	333048	27000000
Marcos Leonardo	397569	20000000
Lorenzo Lucca	424819	18000000
Romelu Lukaku	78498	25000000
Omar Marmoush	394749	60000000
Lautaro Martínez	299344	100000000
Jean-Philippe Mateta	328096	20000000
Kylian Mbappé	300713	160000000
Georges Mikautadze	389020	18000000
Aleksandar Mitrovic	115279	25000000
Randal Kolo Muani	333542	30000000
Rodrigo Muniz	403649	20000000
Eddie Nketiah	345845	25000000
Christopher Nkunku	300945	50000000
Darwin Núñez	400828	65000000
Loïs Openda	363618	60000000
Victor Osimhen	298510	75000000
Orri Óskarsson	428066	20000000
Mikel Oyarzabal	298839	35000000
Vangelis Pavlidis	330514	23000000
João Pedro	373525	50000000
Victor Boniface	384000	45000000
Ricardo Pepi	377466	18000000
Andrea Pinamonti	317544	16000000
Joël Piroe	369542	14000000
Gonçalo Ramos	395802	50000000
Mateo Retegui	349521	35000000
Richarlison	317804	30000000
Vitor Roque	437157	20000000
Georginio Rutter	362433	32000000
Gianluca Scamacca	302650	30000000
Patrik Schick	243565	22000000
Benjamin Sesko	424191	50000000
Fábio Silva	380655	18000000
Dominic Solanke	136459	45000000
Alexander Sørloth	302497	25000000
Mathys Tel	422885	30000000
Igor Thiago	443784	25000000
Marcus Thuram	296322	75000000
Ivan Toney	134240	28000000
El Bilal Touré	391527	20000000
Konstantin Tyukavin	404327	16000000
Stefanos Tzimas	519565	10000000
Deniz Undav	357091	28000000
Dusan Vlahovic	315369	60000000
Elye Wahi	407661	25000000
Ollie Watkins	148503	55000000
Yoane Wissa	296240	28000000
Joshua Zirkzee	383956	42000000
George Ilenikhena	470978	15000000
Manfred Ugalde	422782	15000000
Boulaye Dia	365122	15000000
Zeki Amdouni	424624	15000000
Terem Moffi	400505	18000000
Igor Jesus	397497	15000000
Josh Sargent	367480	13000000
Jonas Wind	353565	13000000
Levi García	302474	15000000
Ché Adams	256419	15000000
Simon Banza	300483	15000000
Tammy Abraham	317506	20000000
Robert Lewandowski	29400	15000000
Semih Kiliçsoy	457171	15000000
Cameron Archer	382363	14000000
Kévin Denkey	332814	14000000
Nikola Krstović	404252	6000000
Adam Armstrong	136460	16000000
Jhon Córdoba	136904	14000000
Tolu Arokodare	402056	9000000
Armando Broja	393407	15000000
Kasper Dolberg	322163	13000000
Enes Ünal	134695	13000000
Álvaro Morata	91213	13000000
Kauã Elias	478297	9000000
Luciano Gondou	410663	12000000
Matthis Abline	414249	9000000
Tiago Tomás	395850	9000000
Thijs Dallinga	379687	12000000
Kyogo Furuhashi	421333	14000000
Arthur Cabral	355666	12000000
Patson Daka	345560	12000000
Gorka Guruzeta	362602	15000000
Breel Embolo	143695	12000000
Niclas Füllkrug	104058	15000000
Cristiano Ronaldo	5583	12000000
Vladyslav Vanat	410504	11000000
Mateo Cassierra	322162	11000000
Callum Wilson	134115	11000000
Mauro Icardi	106964	13000000
Francesco Camarda	510527	10000000
Gift Orban	472995	10000000
Matías Fernández-Pardo	475462	10000000
Isaac Romero	492362	15000000
Thomas Cannon	463991	6000000
Vitinha	384887	13000000
Hugo Duro	354526	12000000
Youssoufa Moukoko	406701	18000000
Josh Maja	325156	7000000
Odsonne Edouard	317504	14000000
Ayoze Pérez	135366	10000000
Neal Maupay	119822	12000000
Memphis Depay	110154	10000000
Chris Wood	73380	7000000
Deivid Washington	478451	9000000
José Manuel López	408110	9000000
Jay Stansfield	390214	9000000
Youssef Chermiti	447229	9000000
Troy Parrott	384064	7500000
Wilson Isidor	363535	4000000
Hugo Cuypers	315387	8000000
Borja Mayoral	278721	9000000
Fedor Chalov	298702	9000000
David Datro Fofana	410522	8500000
Haji Wright	338274	8500000
Charalampos Kostoulas	533923	3000000
Marc Guiu	483208	8000000
Luciano Rodríguez	477777	7500000
Faris Moumbagna	395595	8000000
Ayase Ueda	377288	8000000
Ante Crnac	499034	8000000
Franjo Ivanovic	499993	4000000
Anastasios Douvikas	422873	5000000
Roberto Piccoli	369414	6000000
Ben Brereton Díaz	332839	8000000
M'Bala Nzola	343368	8000000
Rafael Borré	145777	8000000
Elijah Adebayo	362145	10000000
Giovanni Simeone	133839	10000000
Paul Onuachu	122182	11000000
Vedat Muriqi	254352	8000000
Carlton Morris	263188	8000000
Vincent Janssen	133381	8000000
Chuba Akpom	122294	8000000
Alexandre Lacazette	73078	8000000
Akor Adams	408616	9000000
Ferran Jutglà	396158	5000000
Benedict Hollerbach	485184	6000000
Brandon Vazquez	298709	6000000
Cristian Arango	343450	7500000
Marvin Ducksch	115509	9000000
Rafiu Durosinmi	472299	4000000
Max Moerstedt	517609	4000000
Oumar Diakité	454324	9000000
Lucas Stassin	459707	5000000
William Osula	416209	7000000
Mirlind Daku	383204	7000000
Lyle Foster	371447	9000000
Casper Tengstedt	426271	7000000
Ragnar Ache	335756	5000000
Myron Boadu	357081	5000000
Petar Musa	404198	7000000
Krzysztof Piatek	339504	6500000
Patrick Cutrone	329681	7000000
Danny Ings	91762	7000000
		